# e621 계열 어휘 — Danbooru 학습 모델이 못 그린다(정책 제외 아님)
# 태그	빈도	서브그룹
genitals	2505353	-
bodily fluids	1609086	-
balls	1183428	-
butt	1151677	-
vulva	985527	-
big breasts	943252	-
penetration	934572	-
penile	698970	-
male penetrating	567461	-
animal genitalia	537428	-
humanoid penis	513667	-
areola	477635	-
cum inside	442734	-
big butt	428789	-
big penis	400234	-
penile penetration	365025	-
female penetrated	348771	-
vaginal penetration	336509	-
male penetrating female	308401	-
intersex	276154	-
big balls	242452	-
anthro penetrated	231802	-
vaginal fluids	217966	-
gynomorph	216294	-
male penetrating male	213542	-
hyper	201282	-
penis in vagina	190093	-
anthro penetrating	182146	-
from behind position	176235	-
equine genitalia	169434	-
cum in vagina	169265	-
dominant	169226	-
huge butt	154800	-
anthro penetrating anthro	153948	-
equine penis	147208	-
non-mammal breasts	144590	-
presenting hindquarters	139862	-
mostly nude	138043	-
backsack	129384	-
cumshot	127864	-
oral penetration	109924	-
huge balls	108184	-
penis in ass	105560	-
hand on butt	98955	-
cum on face	95073	-
glans	94866	-
hyper genitalia	93814	-
voluptuous	86862	-
submissive male	85441	-
hyper penis	79355	-
non-mammal nipples	77968	-
cum drip	70582	-
presenting vulva	68772	-
penile masturbation	68048	-
nude anthro	65692	-
human penetrating	64837	-
breast play	63887	-
nipple outline	63722	-
ass up	61657	-
leaking cum	60251	-
dominant male	59672	-
cum while penetrated	58625	-
hyper breasts	58565	-
hands-free	58437	-
erect nipples	57990	-
animal vulva	55959	-
lactating	54884	-
hyper balls	54562	-
butt grab	54174	-
sex toy insertion	53132	-
moan	53059	-
puffy anus	51592	-
big areola	51307	-
smaller penetrated	50827	-
breast squish	50302	-
nude female	50153	-
intersex/male	49507	-
intersex/female	49345	-
side boob	49137	-
excessive genital fluids	48989	-
featureless crotch	48295	-
dominant female	48122	-
big nipples	47337	-
male pov	46606	-
saliva string	45846	-
nude male	45307	-
breast grab	45252	-
submissive female	44509	-
humanoid vulva	43029	-
thick penis	41908	-
imminent sex	41884	-
intersex penetrating	41026	-
ambiguous penetration	40759	-
penis lick	40716	-
tapering penis	40278	-
object in ass	38096	-
clothed female	37975	-
partially retracted foreskin	37635	-
gynomorph/female	37560	-
butt focus	37404	-
human penetrating anthro	37275	-
genital slit	37102	-
featureless breasts	36867	-
gynomorph penetrating	36285	-
sex toy in ass	35880	-
penis in mouth	35565	-
vaginal masturbation	35254	-
cum on butt	35204	-
titfuck	34724	-
orgasm face	34614	-
rimming	33832	-
human penetrated	33662	-
multi genitalia	33646	-
genital piercing	33610	-
spread vulva	33410	-
huge belly	33056	-
anal orgasm	32997	-
spread butt	32617	-
multi penis	30843	-
nipple fetish	30501	-
bouncing balls	30474	-
herm	30114	-
nipple play	29981	-
sexual barrier device	29308	-
retracted foreskin	28849	-
cum on ground	28691	-
non-mammal balls	28129	-
plump labia	27847	-
anatomically correct genitalia	27716	-
presenting penis	27649	-
cum on balls	27439	-
andromorph	27035	-
under boob	27020	-
balls deep	26607	-
holding breast	25913	-
tail anus	25841	-
larger penetrated	25748	-
canine vulva	25545	-
exposed breasts	25384	-
hand on penis	25218	-
teats	25168	-
hyper butt	25043	-
holding penis	24978	-
vaginal fingering	24968	-
gaping anus	24919	-
equine vulva	24742	-
gynomorph/male	24740	-
2 penises	24589	-
collar only	24328	-
pregnant female	24153	-
clothed male	24102	-
bubble butt	24101	-
sweaty butt	23928	-
humanoid penetrated	23552	-
penile spines	23502	-
intersex penetrated	23368	-
long penis	23026	-
casual nudity	22958	-
anal masturbation	22877	-
looking at genitalia	22643	-
penetrating pov	22557	-
penis outline	21979	-
bouncing butt	21843	-
cum on leg	21801	-
circumcised	21502	-
clothed/nude	20839	-
pregnant anthro	20825	-
throbbing	20405	-
intersex penetrating female	19864	-
intersex/intersex	19637	-
plug (sex toy)	19452	-
erection under clothing	19354	-
cum splatter	19310	-
hyper belly	19293	-
toying self	19156	-
hourglass figure	18849	-
barely visible genitalia	18394	-
leaking precum	18336	-
glistening butt	18149	-
equine anus	18097	-
fully sheathed	18087	-
gynomorph penetrating female	17964	-
cum on belly	17786	-
buttplug	17724	-
tentacle penetration	17702	-
thrusting	17656	-
multi nipple	17632	-
penis accessory	17586	-
innie vulva	17340	-
hybrid genitalia	16962	-
glistening genitalia	16813	-
outside sex	16735	-
vaginal squirting	16547	-
glistening breasts	16515	-
huge areola	16482	-
saggy balls	16462	-
outdoor nudity	16431	-
penis jewelry	16383	-
younger penetrated	16358	-
large penetration	16035	-
cum in uterus	15945	-
breast hold	15938	simulated_sex_acts
dominant anthro	15889	-
human pov	15878	-
big anus	15776	-
big bulge	15442	-
69 position	15297	-
ball fondling	15255	-
multiple penises	15174	sexual_activity
throbbing penis	15081	-
public sex	15057	-
hot dogging	15037	-
licking own lips	14979	-
internal vaginal	14236	-
sweaty genitalia	14106	-
sex toy in vagina	13780	-
crotch tuft	13775	-
anthro penetrating human	13735	-
urethral	13721	-
morbidly obese	13721	-
nipple ring	13626	-
fingering self	13563	-
grope	13457	-
anatomically correct vulva	13238	-
petplay	13180	-
flared penis	13158	-
multi breast	13151	-
anatomically correct penis	13042	-
breast size difference	12852	-
small but hung	12724	-
butt slap	12713	-
feline genitalia	12700	-
anal fluids	12601	-
bisexual	12592	-
headwear only	12538	-
puffy areola	12537	-
oral masturbation	12516	-
forced oral	12465	-
unusual bodily fluids	12420	-
strapon	12230	-
presenting balls	12192	-
male penetrating intersex	12178	-
body worship	12114	-
cum on hand	12081	-
balls outline	12038	-
penis poking out	11982	-
eyewear only	11890	-
gynomorph penetrated	11703	-
voyeur	11677	-
glistening penis	11675	-
glowing genitalia	11577	-
humanoid penetrating	11514	-
wet body	11442	-
cum everywhere	11376	-
toying partner	11189	-
breast suck	11186	-
ball size difference	11064	-
gynomorph/gynomorph	11061	-
sweaty balls	11058	-
hyper muscles	11001	-
fingering partner	10919	-
hemipenes	10843	-
unretracted foreskin	10774	-
feline penis	10699	-
body part in pussy	10653	-
footwear only	10440	-
sweaty breasts	10435	-
