# 서브그룹 taboo/gore/dark_content — 강간·아동·근친·구로·료나·자해·자살·고문·유혈
# 태그	빈도	서브그룹
imminent rape	2869	taboo
phimosis	1822	taboo
you gonna get raped	1627	taboo
guro	1616	taboo
blood from eyes	1359	gore
selfcest	1316	taboo
onee-loli	1259	taboo
twincest	1218	taboo
after rape	1106	taboo
blood in hair	1028	gore
ryona	900	taboo
drugs	735	taboo
onii-shota	605	taboo
self-harm	596	taboo
vore	537	taboo
blood on breasts	502	gore
drugged	486	taboo
suicide	471	dark_content
lolidom	446	taboo
murder	382	dark_content
torture	382	dark_content
wrist cutting	373	dark_content
abuse	369	dark_content
toddlercon	365	taboo
cumdump	340	taboo
poop	333	taboo
ero guro	294	taboo
disembodied eye	276	gore
mind break	218	taboo
imminent suicide	173	taboo
all the way through	157	taboo
dismemberment	155	taboo
